time_s,sample,phase,event,x_mm,y_mm,z_mm,radius_xy_mm,rx_deg,ry_deg,rz_deg,j1_deg,j2_deg,j3_deg,j4_deg,j5_deg,j6_deg,arm_status,motion_status,ctrl_mode,enable
0.005120,0,idle,,62.882000,-2.275000,196.728000,62.923140,157.985000,76.686000,155.581000,-1.419000,0.380000,-2.573000,-1.277000,19.524000,6.366000,0,1,1,"False,False,False,False,False,False"
0.035311,1,idle,,62.882000,-2.275000,196.728000,62.923140,157.985000,76.686000,155.581000,-1.419000,0.380000,-2.573000,-1.277000,19.524000,6.366000,0,1,1,"False,False,False,False,False,False"
0.070018,2,idle,,62.882000,-2.275000,196.728000,62.923140,157.985000,76.686000,155.581000,-1.419000,0.380000,-2.573000,-1.277000,19.524000,6.366000,0,1,1,"False,False,False,False,False,False"
0.119999,3,idle,,62.882000,-2.275000,196.728000,62.923140,157.985000,76.686000,155.581000,-1.419000,0.380000,-2.573000,-1.277000,19.524000,6.366000,0,1,1,"False,False,False,False,False,False"
0.145620,4,idle,,62.882000,-2.275000,196.728000,62.923140,157.985000,76.686000,155.581000,-1.419000,0.380000,-2.573000,-1.277000,19.524000,6.366000,0,1,1,"False,False,False,False,False,False"
0.175451,5,idle,,62.882000,-2.275000,196.728000,62.923140,157.985000,76.686000,155.581000,-1.419000,0.380000,-2.573000,-1.277000,19.524000,6.366000,0,1,1,"False,False,False,False,False,False"
0.205249,6,idle,,62.882000,-2.275000,196.728000,62.923140,157.985000,76.686000,155.581000,-1.419000,0.380000,-2.573000,-1.277000,19.524000,6.366000,0,1,1,"False,False,False,False,False,False"
0.230650,7,idle,,62.882000,-2.275000,196.728000,62.923140,157.985000,76.686000,155.581000,-1.419000,0.380000,-2.573000,-1.277000,19.524000,6.366000,0,1,1,"False,False,False,False,False,False"
0.265494,8,idle,,62.882000,-2.275000,196.728000,62.923140,157.985000,76.686000,155.581000,-1.419000,0.380000,-2.573000,-1.277000,19.524000,6.366000,0,1,1,"False,False,False,False,False,False"
0.295679,9,idle,,62.882000,-2.275000,196.728000,62.923140,157.985000,76.686000,155.581000,-1.419000,0.380000,-2.573000,-1.277000,19.524000,6.366000,0,1,1,"False,False,False,False,False,False"
0.330120,10,idle,,62.882000,-2.275000,196.728000,62.923140,157.985000,76.686000,155.581000,-1.419000,0.380000,-2.573000,-1.277000,19.524000,6.366000,0,1,1,"False,False,False,False,False,False"
0.360162,11,idle,,62.882000,-2.275000,196.728000,62.923140,157.985000,76.686000,155.581000,-1.419000,0.380000,-2.573000,-1.277000,19.524000,6.366000,0,1,1,"False,False,False,False,False,False"
0.385607,12,idle,,62.882000,-2.275000,196.728000,62.923140,157.985000,76.686000,155.581000,-1.419000,0.380000,-2.573000,-1.277000,19.524000,6.366000,0,1,1,"False,False,False,False,False,False"
0.415501,13,idle,,62.882000,-2.275000,196.728000,62.923140,157.985000,76.686000,155.581000,-1.419000,0.380000,-2.573000,-1.277000,19.524000,6.366000,0,1,1,"False,False,False,False,False,False"
0.445250,14,idle,,62.882000,-2.275000,196.728000,62.923140,157.985000,76.686000,155.581000,-1.419000,0.380000,-2.573000,-1.277000,19.524000,6.366000,0,1,1,"False,False,False,False,False,False"
0.475038,15,idle,,62.882000,-2.275000,196.728000,62.923140,157.985000,76.686000,155.581000,-1.419000,0.380000,-2.573000,-1.277000,19.524000,6.366000,0,1,1,"False,False,False,False,False,False"
0.500443,16,idle,,62.882000,-2.275000,196.728000,62.923140,157.985000,76.686000,155.581000,-1.419000,0.380000,-2.573000,-1.277000,19.524000,6.366000,0,1,1,"False,False,False,False,False,False"
0.530480,17,idle,,62.882000,-2.275000,196.728000,62.923140,157.985000,76.686000,155.581000,-1.419000,0.380000,-2.573000,-1.277000,19.524000,6.366000,0,1,1,"False,False,False,False,False,False"
0.565158,18,idle,,62.882000,-2.275000,196.728000,62.923140,157.985000,76.686000,155.581000,-1.419000,0.380000,-2.573000,-1.277000,19.524000,6.366000,0,1,1,"False,False,False,False,False,False"
0.590619,19,idle,,62.882000,-2.275000,196.728000,62.923140,157.985000,76.686000,155.581000,-1.419000,0.380000,-2.573000,-1.277000,19.524000,6.366000,0,1,1,"False,False,False,False,False,False"
