time_s,sample,action,target_little,target_ring,target_middle,target_index,target_thumb_bend,target_thumb_swing,angle_little,angle_ring,angle_middle,angle_index,angle_thumb_bend,angle_thumb_swing,force_little,force_ring,force_middle,force_index,force_thumb_bend,force_thumb_swing,force_delta_little,force_delta_ring,force_delta_middle,force_delta_index,force_delta_thumb_bend,force_delta_thumb_swing,status_little,status_ring,status_middle,status_index,status_thumb_bend,status_thumb_swing,temp_little,temp_ring,temp_middle,temp_index,temp_thumb_bend,temp_thumb_swing
1.186655,0,initial_open,1720,1720,1720,1720,1450,900.0,1722.0,1722.0,1722.0,1721.0,1447.0,897.0,57.0,-4.0,-17.0,23.0,9.0,119.0,0.0,-1.0,-1.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,48.0,48.0,48.0,48.0,40.0,46.0
1.348969,1,initial_open,1720,1720,1720,1720,1450,900.0,1722.0,1722.0,1722.0,1721.0,1447.0,897.0,57.0,-4.0,-17.0,23.0,9.0,118.0,0.0,-1.0,-1.0,0.0,0.0,-1.0,2.0,2.0,2.0,2.0,2.0,2.0,48.0,48.0,48.0,48.0,40.0,46.0
1.511228,2,initial_open,1720,1720,1720,1720,1450,900.0,1722.0,1722.0,1722.0,1721.0,1447.0,897.0,57.0,-4.0,-17.0,22.0,9.0,119.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,48.0,48.0,48.0,48.0,40.0,46.0
1.673446,3,initial_open,1720,1720,1720,1720,1450,900.0,1722.0,1722.0,1721.0,1721.0,1447.0,897.0,57.0,-3.0,-17.0,23.0,9.0,119.0,0.0,0.0,-1.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,48.0,48.0,48.0,48.0,40.0,46.0
1.845876,4,initial_open,1720,1720,1720,1720,1450,900.0,1722.0,1722.0,1721.0,1721.0,1447.0,897.0,57.0,-4.0,-16.0,22.0,9.0,119.0,0.0,-1.0,0.0,-1.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,48.0,48.0,48.0,48.0,40.0,46.0
2.008070,5,initial_open,1720,1720,1720,1720,1450,900.0,1722.0,1722.0,1721.0,1721.0,1447.0,897.0,57.0,-4.0,-16.0,23.0,9.0,119.0,0.0,-1.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,48.0,48.0,48.0,48.0,40.0,46.0
2.160111,6,initial_open,1720,1720,1720,1720,1450,900.0,1722.0,1722.0,1721.0,1721.0,1447.0,897.0,57.0,-2.0,-17.0,23.0,9.0,118.0,0.0,1.0,-1.0,0.0,0.0,-1.0,2.0,2.0,2.0,2.0,2.0,2.0,48.0,48.0,48.0,48.0,40.0,46.0
2.322364,7,initial_open,1720,1720,1720,1720,1450,900.0,1722.0,1722.0,1722.0,1721.0,1447.0,897.0,57.0,-4.0,-17.0,22.0,9.0,119.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,48.0,48.0,48.0,48.0,40.0,46.0
2.484568,8,initial_open,1720,1720,1720,1720,1450,900.0,1722.0,1722.0,1721.0,1721.0,1447.0,897.0,57.0,-2.0,-17.0,23.0,9.0,119.0,0.0,1.0,-1.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,48.0,48.0,48.0,48.0,40.0,46.0
2.646736,9,initial_open,1720,1720,1720,1720,1450,900.0,1722.0,1722.0,1722.0,1721.0,1447.0,897.0,57.0,-3.0,-16.0,23.0,9.0,119.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,48.0,48.0,48.0,48.0,40.0,46.0
2.809053,10,initial_open,1720,1720,1720,1720,1450,900.0,1722.0,1722.0,1721.0,1721.0,1447.0,897.0,57.0,-4.0,-17.0,23.0,9.0,119.0,0.0,-1.0,-1.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,48.0,48.0,48.0,48.0,40.0,46.0
2.981490,11,initial_open,1720,1720,1720,1720,1450,900.0,1722.0,1722.0,1722.0,1721.0,1447.0,897.0,58.0,-3.0,-17.0,23.0,9.0,119.0,1.0,0.0,-1.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,48.0,48.0,48.0,48.0,40.0,46.0
3.143836,12,initial_open,1720,1720,1720,1720,1450,900.0,1722.0,1722.0,1722.0,1721.0,1447.0,897.0,57.0,-2.0,-16.0,23.0,9.0,119.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,48.0,48.0,48.0,48.0,40.0,46.0
3.316347,13,initial_open,1720,1720,1720,1720,1450,900.0,1722.0,1722.0,1722.0,1721.0,1447.0,897.0,57.0,-3.0,-16.0,23.0,9.0,119.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,48.0,48.0,48.0,48.0,40.0,46.0
3.478577,14,initial_open,1720,1720,1720,1720,1450,900.0,1722.0,1722.0,1722.0,1721.0,1447.0,897.0,58.0,-2.0,-16.0,23.0,9.0,119.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,48.0,48.0,48.0,48.0,40.0,46.0
3.640757,15,initial_open,1720,1720,1720,1720,1450,900.0,1722.0,1722.0,1722.0,1721.0,1447.0,897.0,57.0,-4.0,-16.0,23.0,9.0,119.0,0.0,-1.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,48.0,48.0,48.0,48.0,40.0,46.0
3.813281,16,initial_open,1720,1720,1720,1720,1450,900.0,1722.0,1722.0,1722.0,1721.0,1447.0,897.0,58.0,-2.0,-16.0,23.0,9.0,119.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,48.0,48.0,48.0,48.0,40.0,46.0
3.975555,17,initial_open,1720,1720,1720,1720,1450,900.0,1722.0,1722.0,1722.0,1721.0,1447.0,897.0,58.0,-3.0,-16.0,23.0,9.0,119.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,48.0,48.0,48.0,48.0,40.0,46.0
4.148048,18,initial_open,1720,1720,1720,1720,1450,900.0,1722.0,1722.0,1721.0,1721.0,1447.0,897.0,57.0,-2.0,-16.0,23.0,9.0,119.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,48.0,48.0,48.0,48.0,40.0,46.0
