time_s,sample,action,target_little,target_ring,target_middle,target_index,target_thumb_bend,target_thumb_swing,angle_little,angle_ring,angle_middle,angle_index,angle_thumb_bend,angle_thumb_swing,force_little,force_ring,force_middle,force_index,force_thumb_bend,force_thumb_swing,force_delta_little,force_delta_ring,force_delta_middle,force_delta_index,force_delta_thumb_bend,force_delta_thumb_swing,status_little,status_ring,status_middle,status_index,status_thumb_bend,status_thumb_swing,temp_little,temp_ring,temp_middle,temp_index,temp_thumb_bend,temp_thumb_swing
1.186535,0,initial_open,1720,1720,1720,1720,1450,1050.0,1722.0,1722.0,1722.0,1722.0,1447.0,1055.0,60.0,-2.0,-21.0,19.0,10.0,104.0,0.0,0.0,0.0,0.0,0.0,-1.0,2.0,2.0,2.0,2.0,2.0,1.0,46.0,48.0,48.0,46.0,38.0,46.0
1.348768,1,initial_open,1720,1720,1720,1720,1450,1050.0,1722.0,1722.0,1722.0,1722.0,1447.0,1055.0,60.0,-2.0,-21.0,19.0,10.0,105.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,1.0,46.0,48.0,48.0,46.0,38.0,46.0
1.511027,2,initial_open,1720,1720,1720,1720,1450,1050.0,1722.0,1722.0,1722.0,1722.0,1447.0,1055.0,60.0,-2.0,-21.0,19.0,10.0,105.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,1.0,46.0,48.0,48.0,46.0,38.0,46.0
1.663043,3,initial_open,1720,1720,1720,1720,1450,1050.0,1722.0,1722.0,1721.0,1722.0,1447.0,1055.0,60.0,-2.0,-21.0,19.0,10.0,104.0,0.0,0.0,0.0,0.0,0.0,-1.0,2.0,2.0,2.0,2.0,2.0,1.0,46.0,48.0,48.0,46.0,38.0,46.0
1.825352,4,initial_open,1720,1720,1720,1720,1450,1050.0,1722.0,1722.0,1722.0,1722.0,1447.0,1055.0,61.0,-2.0,-21.0,16.0,10.0,103.0,1.0,0.0,0.0,-3.0,0.0,-2.0,2.0,2.0,2.0,2.0,2.0,1.0,46.0,48.0,48.0,46.0,38.0,46.0
1.987582,5,initial_open,1720,1720,1720,1720,1450,1050.0,1722.0,1722.0,1722.0,1722.0,1447.0,1055.0,61.0,-2.0,-21.0,17.0,10.0,104.0,1.0,0.0,0.0,-2.0,0.0,-1.0,2.0,2.0,2.0,2.0,2.0,1.0,46.0,48.0,48.0,46.0,38.0,46.0
2.149717,6,initial_open,1720,1720,1720,1720,1450,1050.0,1722.0,1722.0,1722.0,1722.0,1447.0,1055.0,61.0,-2.0,-21.0,17.0,10.0,104.0,1.0,0.0,0.0,-2.0,0.0,-1.0,2.0,2.0,2.0,2.0,2.0,1.0,46.0,48.0,48.0,46.0,38.0,46.0
2.311953,7,initial_open,1720,1720,1720,1720,1450,1050.0,1722.0,1722.0,1722.0,1722.0,1447.0,1055.0,60.0,-2.0,-21.0,17.0,11.0,106.0,0.0,0.0,0.0,-2.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,46.0,48.0,48.0,46.0,38.0,46.0
2.484354,8,initial_open,1720,1720,1720,1720,1450,1050.0,1722.0,1722.0,1722.0,1722.0,1447.0,1052.0,61.0,-2.0,-23.0,17.0,10.0,103.0,1.0,0.0,-2.0,-2.0,0.0,-2.0,2.0,2.0,2.0,2.0,2.0,2.0,46.0,48.0,48.0,46.0,38.0,46.0
2.646576,9,initial_open,1720,1720,1720,1720,1450,1050.0,1722.0,1722.0,1721.0,1722.0,1447.0,1052.0,60.0,-2.0,-23.0,17.0,10.0,103.0,0.0,0.0,-2.0,-2.0,0.0,-2.0,2.0,2.0,2.0,2.0,2.0,2.0,46.0,48.0,48.0,46.0,38.0,46.0
