time_s,sample,action,target_little,target_ring,target_middle,target_index,target_thumb_bend,target_thumb_swing,angle_little,angle_ring,angle_middle,angle_index,angle_thumb_bend,angle_thumb_swing,force_little,force_ring,force_middle,force_index,force_thumb_bend,force_thumb_swing,force_delta_little,force_delta_ring,force_delta_middle,force_delta_index,force_delta_thumb_bend,force_delta_thumb_swing,status_little,status_ring,status_middle,status_index,status_thumb_bend,status_thumb_swing,temp_little,temp_ring,temp_middle,temp_index,temp_thumb_bend,temp_thumb_swing,active_force_count,grasp_continuous_s,grasp_prediction
1.186544,0,initial_open,1720,1720,1720,1720,1450,1050.0,1722.0,1722.0,1722.0,1722.0,1447.0,1047.0,62.0,-2.0,-19.0,17.0,12.0,101.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,46.0,48.0,48.0,46.0,38.0,46.0,0,0.000,pending
1.348763,1,initial_open,1720,1720,1720,1720,1450,1050.0,1722.0,1722.0,1722.0,1722.0,1447.0,1047.0,62.0,-2.0,-19.0,17.0,12.0,100.0,0.0,0.0,0.0,0.0,0.0,-1.0,2.0,2.0,2.0,2.0,2.0,2.0,46.0,48.0,48.0,46.0,38.0,46.0,0,0.000,pending
1.511034,2,initial_open,1720,1720,1720,1720,1450,1050.0,1722.0,1722.0,1722.0,1722.0,1447.0,1047.0,62.0,-2.0,-19.0,17.0,12.0,100.0,0.0,0.0,0.0,0.0,0.0,-1.0,2.0,2.0,2.0,2.0,2.0,2.0,46.0,48.0,48.0,46.0,38.0,46.0,0,0.000,pending
1.673191,3,initial_open,1720,1720,1720,1720,1450,1050.0,1722.0,1722.0,1722.0,1722.0,1447.0,1047.0,62.0,-2.0,-19.0,17.0,12.0,101.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,46.0,48.0,48.0,46.0,38.0,46.0,0,0.000,pending
1.845669,4,initial_open,1720,1720,1720,1720,1450,1050.0,1722.0,1722.0,1721.0,1722.0,1447.0,1047.0,62.0,-1.0,-21.0,17.0,12.0,101.0,0.0,1.0,-2.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,46.0,48.0,48.0,46.0,38.0,46.0,0,0.000,pending
2.007910,5,initial_open,1720,1720,1720,1720,1450,1050.0,1722.0,1722.0,1722.0,1722.0,1447.0,1047.0,62.0,-1.0,-21.0,17.0,12.0,99.0,0.0,1.0,-2.0,0.0,0.0,-2.0,2.0,2.0,2.0,2.0,2.0,2.0,46.0,48.0,48.0,46.0,38.0,46.0,0,0.000,pending
2.159964,6,initial_open,1720,1720,1720,1720,1450,1050.0,1722.0,1722.0,1721.0,1722.0,1447.0,1047.0,62.0,-1.0,-21.0,17.0,12.0,99.0,0.0,1.0,-2.0,0.0,0.0,-2.0,2.0,2.0,2.0,2.0,2.0,2.0,46.0,48.0,48.0,46.0,38.0,46.0,0,0.000,pending
2.322234,7,initial_open,1720,1720,1720,1720,1450,1050.0,1722.0,1722.0,1722.0,1722.0,1447.0,1047.0,62.0,-1.0,-21.0,17.0,12.0,100.0,0.0,1.0,-2.0,0.0,0.0,-1.0,2.0,2.0,2.0,2.0,2.0,2.0,46.0,48.0,48.0,46.0,38.0,46.0,0,0.000,pending
2.484421,8,initial_open,1720,1720,1720,1720,1450,1050.0,1722.0,1722.0,1722.0,1722.0,1447.0,1047.0,62.0,0.0,-21.0,17.0,12.0,100.0,0.0,2.0,-2.0,0.0,0.0,-1.0,2.0,2.0,2.0,2.0,2.0,2.0,46.0,48.0,48.0,46.0,38.0,46.0,0,0.000,pending
2.646680,9,initial_open,1720,1720,1720,1720,1450,1050.0,1722.0,1722.0,1722.0,1722.0,1447.0,1047.0,62.0,-2.0,-23.0,17.0,12.0,99.0,0.0,0.0,-4.0,0.0,0.0,-2.0,2.0,2.0,2.0,2.0,2.0,2.0,46.0,48.0,48.0,46.0,38.0,46.0,0,0.000,pending
2.808921,10,initial_open,1720,1720,1720,1720,1450,1050.0,1722.0,1722.0,1722.0,1722.0,1447.0,1047.0,62.0,-2.0,-21.0,17.0,10.0,100.0,0.0,0.0,-2.0,0.0,-2.0,-1.0,2.0,2.0,2.0,2.0,2.0,2.0,46.0,48.0,48.0,46.0,38.0,46.0,0,0.000,pending
2.981344,11,initial_open,1720,1720,1720,1720,1450,1050.0,1722.0,1722.0,1722.0,1722.0,1447.0,1047.0,64.0,0.0,-19.0,19.0,10.0,99.0,2.0,2.0,0.0,2.0,-2.0,-2.0,2.0,2.0,2.0,2.0,2.0,2.0,46.0,48.0,48.0,46.0,38.0,46.0,0,0.000,pending
3.143457,12,initial_open,1720,1720,1720,1720,1450,1050.0,1722.0,1722.0,1722.0,1722.0,1447.0,1047.0,64.0,-1.0,-19.0,19.0,9.0,101.0,2.0,1.0,0.0,2.0,-3.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,46.0,48.0,48.0,46.0,38.0,46.0,0,0.000,pending
3.295572,13,initial_open,1720,1720,1720,1720,1450,1050.0,1722.0,1722.0,1722.0,1722.0,1447.0,1047.0,64.0,-1.0,-19.0,19.0,9.0,99.0,2.0,1.0,0.0,2.0,-3.0,-2.0,2.0,2.0,2.0,2.0,2.0,2.0,46.0,48.0,48.0,46.0,38.0,46.0,0,0.000,pending
3.457792,14,initial_open,1720,1720,1720,1720,1450,1050.0,1722.0,1722.0,1722.0,1722.0,1447.0,1047.0,64.0,0.0,-19.0,19.0,7.0,98.0,2.0,2.0,0.0,2.0,-5.0,-3.0,2.0,2.0,2.0,2.0,2.0,2.0,46.0,48.0,48.0,46.0,38.0,46.0,0,0.000,pending
3.620051,15,initial_open,1720,1720,1720,1720,1450,1050.0,1722.0,1722.0,1722.0,1722.0,1447.0,1047.0,62.0,0.0,-19.0,19.0,9.0,101.0,0.0,2.0,0.0,2.0,-3.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,46.0,48.0,48.0,46.0,38.0,46.0,0,0.000,pending
3.782308,16,initial_open,1720,1720,1720,1720,1450,1050.0,1722.0,1722.0,1722.0,1722.0,1447.0,1047.0,62.0,-1.0,-19.0,19.0,9.0,97.0,0.0,1.0,0.0,2.0,-3.0,-4.0,2.0,2.0,2.0,2.0,2.0,2.0,46.0,48.0,48.0,46.0,38.0,46.0,0,0.000,pending
3.944392,17,initial_open,1720,1720,1720,1720,1450,1050.0,1722.0,1722.0,1721.0,1722.0,1447.0,1047.0,62.0,-2.0,-19.0,19.0,9.0,97.0,0.0,0.0,0.0,2.0,-3.0,-4.0,2.0,2.0,2.0,2.0,2.0,2.0,46.0,48.0,48.0,46.0,38.0,46.0,0,0.000,pending
4.116843,18,initial_open,1720,1720,1720,1720,1450,1050.0,1722.0,1722.0,1722.0,1722.0,1447.0,1047.0,62.0,-1.0,-19.0,19.0,9.0,97.0,0.0,1.0,0.0,2.0,-3.0,-4.0,2.0,2.0,2.0,2.0,2.0,2.0,46.0,48.0,48.0,46.0,38.0,46.0,0,0.000,pending
4.279084,19,initial_open,1720,1720,1720,1720,1450,1050.0,1722.0,1722.0,1722.0,1722.0,1447.0,1047.0,62.0,-1.0,-19.0,19.0,9.0,97.0,0.0,1.0,0.0,2.0,-3.0,-4.0,2.0,2.0,2.0,2.0,2.0,2.0,46.0,48.0,48.0,46.0,38.0,46.0,0,0.000,pending
