time_s,sample,action,target_little,target_ring,target_middle,target_index,target_thumb_bend,target_thumb_swing,angle_little,angle_ring,angle_middle,angle_index,angle_thumb_bend,angle_thumb_swing,force_little,force_ring,force_middle,force_index,force_thumb_bend,force_thumb_swing,force_delta_little,force_delta_ring,force_delta_middle,force_delta_index,force_delta_thumb_bend,force_delta_thumb_swing,status_little,status_ring,status_middle,status_index,status_thumb_bend,status_thumb_swing,temp_little,temp_ring,temp_middle,temp_index,temp_thumb_bend,temp_thumb_swing,active_force_count,grasp_continuous_s,grasp_prediction
1.186667,0,initial_open,1720,1720,1720,1720,1450,1050.0,1722.0,1722.0,1722.0,1719.0,1447.0,1047.0,60.0,-2.0,-21.0,19.0,9.0,93.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,46.0,48.0,48.0,46.0,38.0,46.0,0,0.000,pending
1.348988,1,initial_open,1720,1720,1720,1720,1450,1050.0,1722.0,1722.0,1722.0,1719.0,1447.0,1047.0,60.0,-2.0,-19.0,19.0,9.0,93.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,46.0,48.0,48.0,46.0,38.0,46.0,0,0.000,pending
1.511297,2,initial_open,1720,1720,1720,1720,1450,1050.0,1722.0,1722.0,1722.0,1719.0,1447.0,1047.0,60.0,-2.0,-20.0,19.0,9.0,93.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,46.0,48.0,48.0,46.0,38.0,46.0,0,0.000,pending
1.663289,3,initial_open,1720,1720,1720,1720,1450,1050.0,1722.0,1722.0,1722.0,1719.0,1447.0,1047.0,60.0,-2.0,-20.0,19.0,9.0,93.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,46.0,48.0,48.0,46.0,38.0,46.0,0,0.000,pending
1.825598,4,initial_open,1720,1720,1720,1720,1450,1050.0,1722.0,1722.0,1722.0,1719.0,1447.0,1047.0,60.0,-2.0,-21.0,19.0,9.0,93.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,46.0,48.0,48.0,46.0,38.0,46.0,0,0.000,pending
2.018720,5,auto_close_step_25,1670,1685,1695,1695,1425,1050.0,1722.0,1722.0,1722.0,1719.0,1447.0,1047.0,60.0,-2.0,-19.0,19.0,9.0,93.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,46.0,48.0,48.0,46.0,38.0,46.0,0,0.000,pending
2.181010,6,auto_close_step_25,1670,1685,1695,1695,1425,1050.0,1689.0,1698.0,1709.0,1712.0,1434.0,1047.0,77.0,10.0,-10.0,24.0,13.0,93.0,17.0,12.0,11.0,5.0,4.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,46.0,48.0,48.0,46.0,38.0,46.0,0,0.000,pending
2.374128,7,auto_close_step_25,1620,1650,1670,1670,1400,1050.0,1675.0,1689.0,1699.0,1702.0,1428.0,1047.0,80.0,14.0,-4.0,33.0,21.0,94.0,20.0,16.0,17.0,14.0,12.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,46.0,48.0,48.0,46.0,38.0,46.0,0,0.000,pending
2.536357,8,auto_close_step_25,1620,1650,1670,1670,1400,1050.0,1649.0,1663.0,1683.0,1683.0,1409.0,1047.0,82.0,20.0,-2.0,29.0,31.0,97.0,22.0,22.0,19.0,10.0,22.0,4.0,1.0,1.0,1.0,1.0,1.0,2.0,46.0,48.0,48.0,46.0,38.0,46.0,0,0.000,pending
2.739443,9,auto_close_step_25,1570,1615,1645,1645,1375,1050.0,1625.0,1654.0,1675.0,1673.0,1403.0,1047.0,85.0,22.0,0.0,27.0,29.0,95.0,25.0,24.0,21.0,8.0,20.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,46.0,48.0,48.0,46.0,38.0,46.0,0,0.000,pending
2.901675,10,auto_close_step_25,1570,1615,1645,1645,1375,1050.0,1596.0,1628.0,1658.0,1657.0,1385.0,1047.0,86.0,30.0,0.0,23.0,41.0,97.0,26.0,32.0,21.0,4.0,32.0,4.0,1.0,1.0,1.0,1.0,1.0,2.0,46.0,48.0,48.0,46.0,38.0,46.0,0,0.000,pending
3.094593,11,auto_close_step_25,1520,1580,1620,1620,1350,1050.0,1574.0,1619.0,1648.0,1647.0,1380.0,1047.0,86.0,29.0,2.0,27.0,36.0,97.0,26.0,31.0,23.0,8.0,27.0,4.0,1.0,1.0,1.0,1.0,1.0,0.0,48.0,48.0,48.0,46.0,38.0,46.0,0,0.000,pending
3.266955,12,auto_close_step_25,1520,1580,1620,1620,1350,1050.0,1547.0,1595.0,1632.0,1632.0,1362.0,1047.0,86.0,36.0,0.0,25.0,50.0,99.0,26.0,38.0,21.0,6.0,41.0,6.0,1.0,1.0,1.0,1.0,1.0,2.0,48.0,48.0,48.0,46.0,38.0,46.0,0,0.000,pending
3.459974,13,auto_close_step_25,1470,1545,1595,1595,1325,1050.0,1524.0,1581.0,1622.0,1620.0,1356.0,1047.0,91.0,37.0,2.0,29.0,43.0,99.0,31.0,39.0,23.0,10.0,34.0,6.0,1.0,1.0,1.0,1.0,1.0,0.0,48.0,48.0,48.0,46.0,38.0,46.0,0,0.000,pending
3.622216,14,auto_close_step_25,1470,1545,1595,1595,1325,1050.0,1495.0,1557.0,1606.0,1609.0,1339.0,1047.0,94.0,32.0,4.0,135.0,120.0,107.0,34.0,34.0,25.0,116.0,111.0,14.0,1.0,1.0,1.0,1.0,1.0,2.0,48.0,48.0,48.0,46.0,38.0,46.0,0,0.000,pending
3.825432,15,auto_close_step_25,1420,1510,1570,1570,1300.0,1050.0,1477.0,1547.0,1600.0,1608.0,1333.0,1047.0,98.0,32.0,79.0,255.0,251.0,144.0,38.0,34.0,100.0,236.0,242.0,51.0,1.0,1.0,1.0,1.0,1.0,0.0,48.0,48.0,48.0,46.0,38.0,46.0,0,0.000,pending
3.987664,16,auto_close_step_25,1420,1510,1570,1570,1300.0,1050.0,1442.0,1520.0,1581.0,1589.0,1327.0,1047.0,102.0,35.0,223.0,582.0,535.0,169.0,42.0,37.0,244.0,563.0,526.0,76.0,1.0,1.0,1.0,1.0,1.0,2.0,48.0,48.0,48.0,46.0,38.0,46.0,2,0.000,pending
4.180774,17,auto_close_step_25,1370,1475,1545,1545,1300.0,1050.0,1426.0,1510.0,1580.0,1586.0,1323.0,1047.0,104.0,45.0,257.0,671.0,1103.0,179.0,44.0,47.0,278.0,652.0,1094.0,86.0,1.0,1.0,1.0,3.0,3.0,0.0,48.0,48.0,48.0,46.0,38.0,46.0,2,0.000,pending
4.343109,18,auto_close_step_25,1370,1475,1545,1545,1300.0,1050.0,1397.0,1487.0,1569.0,1585.0,1323.0,1047.0,109.0,55.0,745.0,435.0,1146.0,260.0,49.0,57.0,766.0,416.0,1137.0,167.0,1.0,1.0,3.0,3.0,3.0,2.0,48.0,48.0,48.0,46.0,38.0,46.0,3,0.000,pending
4.546409,19,auto_close_step_25,1320,1440,1520,1520,1300.0,1050.0,1377.0,1479.0,1568.0,1585.0,1323.0,1047.0,109.0,67.0,711.0,439.0,1157.0,264.0,49.0,69.0,732.0,420.0,1148.0,171.0,1.0,1.0,3.0,1.0,3.0,0.0,48.0,48.0,48.0,46.0,38.0,46.0,3,0.000,pending
4.708743,20,auto_close_step_25,1320,1440,1520,1520,1300.0,1050.0,1349.0,1457.0,1566.0,1578.0,1323.0,1047.0,113.0,230.0,465.0,749.0,1185.0,314.0,53.0,232.0,486.0,730.0,1176.0,221.0,1.0,1.0,3.0,1.0,3.0,2.0,48.0,48.0,48.0,48.0,38.0,46.0,4,0.000,pending
4.901753,21,auto_close_step_25,1270,1405,1495,1495,1300.0,1050.0,1331.0,1450.0,1565.0,1571.0,1323.0,1047.0,115.0,259.0,318.0,936.0,1327.0,334.0,55.0,261.0,339.0,917.0,1318.0,241.0,1.0,1.0,1.0,3.0,3.0,0.0,48.0,48.0,48.0,46.0,38.0,46.0,4,0.000,pending
5.074218,22,auto_close_step_25,1270,1405,1495,1495,1300.0,1050.0,1298.0,1422.0,1553.0,1570.0,1323.0,1047.0,121.0,533.0,555.0,585.0,1411.0,449.0,61.0,535.0,576.0,566.0,1402.0,356.0,1.0,1.0,1.0,3.0,3.0,2.0,48.0,48.0,48.0,48.0,38.0,46.0,5,0.000,pending
5.267151,23,auto_close_step_25,1220,1370,1470,1470,1300.0,1050.0,1282.0,1415.0,1545.0,1568.0,1323.0,1047.0,125.0,407.0,863.0,489.0,1566.0,457.0,65.0,409.0,884.0,470.0,1557.0,364.0,1.0,1.0,3.0,1.0,3.0,0.0,48.0,48.0,48.0,46.0,38.0,46.0,5,0.000,pending
5.429384,24,auto_close_step_25,1220,1370,1470,1470,1300.0,1050.0,1247.0,1400.0,1542.0,1559.0,1323.0,1048.0,138.0,651.0,548.0,772.0,1623.0,494.0,78.0,653.0,569.0,753.0,1614.0,401.0,1.0,1.0,3.0,1.0,3.0,2.0,48.0,48.0,48.0,48.0,38.0,46.0,5,0.000,pending
5.632846,25,auto_close_step_25,1200.0,1335,1445,1445,1300.0,1050.0,1232.0,1388.0,1540.0,1553.0,1323.0,1049.0,142.0,597.0,414.0,966.0,1836.0,503.0,82.0,599.0,435.0,947.0,1827.0,410.0,1.0,3.0,1.0,3.0,3.0,1.0,48.0,48.0,48.0,48.0,38.0,46.0,5,0.000,pending
5.795053,26,auto_close_step_25,1200.0,1335,1445,1445,1300.0,1050.0,1215.0,1386.0,1535.0,1553.0,1323.0,1049.0,147.0,517.0,764.0,850.0,1840.0,506.0,87.0,519.0,785.0,831.0,1831.0,413.0,1.0,3.0,1.0,3.0,3.0,2.0,48.0,48.0,48.0,48.0,38.0,46.0,5,0.000,pending
5.988136,27,auto_close_step_25,1200.0,1300,1420,1420,1300.0,1050.0,1207.0,1385.0,1531.0,1553.0,1323.0,1050.0,151.0,459.0,893.0,776.0,1857.0,509.0,91.0,461.0,914.0,757.0,1848.0,416.0,1.0,1.0,3.0,3.0,3.0,1.0,48.0,48.0,48.0,48.0,38.0,46.0,5,0.000,pending
6.140209,28,auto_close_step_25,1200.0,1300,1420,1420,1300.0,1050.0,1202.0,1381.0,1531.0,1552.0,1323.0,1049.0,144.0,688.0,760.0,711.0,1857.0,533.0,84.0,690.0,781.0,692.0,1848.0,440.0,2.0,1.0,3.0,3.0,3.0,2.0,48.0,48.0,48.0,48.0,38.0,46.0,5,0.000,pending
