time_s,sample,action,target_little,target_ring,target_middle,target_index,target_thumb_bend,target_thumb_swing,angle_little,angle_ring,angle_middle,angle_index,angle_thumb_bend,angle_thumb_swing,force_little,force_ring,force_middle,force_index,force_thumb_bend,force_thumb_swing,force_delta_little,force_delta_ring,force_delta_middle,force_delta_index,force_delta_thumb_bend,force_delta_thumb_swing,status_little,status_ring,status_middle,status_index,status_thumb_bend,status_thumb_swing,temp_little,temp_ring,temp_middle,temp_index,temp_thumb_bend,temp_thumb_swing
1.186636,0,initial_open,1720,1720,1720,1720,1450,900.0,1722.0,1722.0,1722.0,1722.0,1447.0,897.0,57.0,-3.0,-21.0,16.0,10.0,119.0,-2.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,48.0,48.0,48.0,46.0,40.0,46.0
1.349002,1,initial_open,1720,1720,1720,1720,1450,900.0,1722.0,1722.0,1722.0,1722.0,1447.0,897.0,58.0,-3.0,-21.0,16.0,10.0,118.0,-1.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,48.0,48.0,48.0,46.0,40.0,46.0
1.511257,2,initial_open,1720,1720,1720,1720,1450,900.0,1722.0,1722.0,1722.0,1721.0,1447.0,897.0,58.0,-3.0,-21.0,15.0,10.0,119.0,-1.0,0.0,0.0,-1.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,48.0,48.0,48.0,48.0,40.0,46.0
1.663321,3,initial_open,1720,1720,1720,1720,1450,900.0,1722.0,1722.0,1722.0,1722.0,1447.0,897.0,57.0,-2.0,-21.0,16.0,10.0,117.0,-2.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,48.0,48.0,48.0,46.0,40.0,46.0
1.825416,4,initial_open,1720,1720,1720,1720,1450,900.0,1722.0,1722.0,1722.0,1722.0,1447.0,897.0,57.0,-2.0,-21.0,15.0,10.0,119.0,-2.0,1.0,0.0,-1.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,48.0,48.0,48.0,46.0,40.0,46.0
1.987607,5,initial_open,1720,1720,1720,1720,1450,900.0,1722.0,1722.0,1722.0,1722.0,1447.0,897.0,57.0,-2.0,-22.0,16.0,10.0,118.0,-2.0,1.0,-1.0,0.0,0.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,46.0,48.0,48.0,48.0,40.0,46.0
2.149623,6,initial_open,1720,1720,1720,1720,1450,900.0,1722.0,1722.0,1722.0,1722.0,1447.0,897.0,57.0,-3.0,-22.0,17.0,10.0,119.0,-2.0,0.0,-1.0,1.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,48.0,48.0,48.0,48.0,40.0,46.0
2.311895,7,initial_open,1720,1720,1720,1720,1450,900.0,1722.0,1722.0,1722.0,1721.0,1447.0,896.0,58.0,-3.0,-21.0,16.0,10.0,118.0,-1.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,48.0,48.0,48.0,48.0,40.0,46.0
2.484414,8,initial_open,1720,1720,1720,1720,1450,900.0,1722.0,1722.0,1722.0,1722.0,1447.0,897.0,58.0,-2.0,-21.0,16.0,10.0,118.0,-1.0,1.0,0.0,0.0,0.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,48.0,48.0,48.0,46.0,40.0,46.0
2.656840,9,initial_open,1720,1720,1720,1720,1450,900.0,1722.0,1722.0,1721.0,1722.0,1447.0,897.0,58.0,-2.0,-21.0,17.0,4.0,135.0,-1.0,1.0,0.0,1.0,-6.0,18.0,2.0,2.0,2.0,2.0,2.0,2.0,48.0,48.0,48.0,48.0,40.0,46.0
2.819037,10,initial_open,1720,1720,1720,1720,1450,900.0,1722.0,1722.0,1722.0,1722.0,1447.0,897.0,58.0,-2.0,-21.0,17.0,7.0,123.0,-1.0,1.0,0.0,1.0,-3.0,6.0,2.0,2.0,2.0,2.0,2.0,2.0,48.0,48.0,48.0,48.0,40.0,46.0
2.981317,11,initial_open,1720,1720,1720,1720,1450,900.0,1722.0,1722.0,1722.0,1722.0,1447.0,897.0,58.0,-2.0,-21.0,17.0,12.0,123.0,-1.0,1.0,0.0,1.0,2.0,6.0,2.0,2.0,2.0,2.0,2.0,2.0,48.0,48.0,48.0,48.0,40.0,46.0
