unix_time,camera_board_rvec_x,camera_board_rvec_y,camera_board_rvec_z,camera_board_x_m,camera_board_y_m,camera_board_z_m,base_x_m,base_y_m,base_z_m,base_rx_deg,base_ry_deg,base_rz_deg,charuco_corners
1785739645.654854,-0.821211701,-0.120692611,1.577397849,-0.048784628,-0.058271843,0.369007302,0.223873,-0.008605,0.384323,173.600000,51.649000,167.772000,17
1785739660.299882,-0.525109847,-0.033917357,2.469020329,0.029083252,-0.020791209,0.329228631,0.278610,0.058991,0.371663,-146.624000,38.216000,-125.089000,14
1785739826.077265,0.359787913,0.032594136,-3.097608626,0.003626206,0.040900890,0.320844449,0.252818,0.113824,0.380681,-134.394000,22.310000,-88.065000,12
1785739869.728536,-0.879332268,-0.194438886,0.822471951,-0.075899547,0.009663991,0.313411417,0.199416,0.117823,0.349103,144.582000,24.312000,123.405000,12
1785739888.840654,-0.915423646,0.070705357,2.569884620,-0.034803076,0.014984566,0.390509296,0.280691,-0.061130,0.416691,-149.290000,43.945000,-123.957000,17
1785739906.441404,-0.593271571,-0.051841718,2.042050533,-0.006560691,-0.133466481,0.393873077,0.319299,-0.066767,0.411844,-154.484000,41.450000,-153.470000,13
1785739916.696536,-0.596876823,-0.093099570,0.709193541,-0.166310415,-0.099749462,0.359357082,0.264025,-0.073778,0.392617,161.872000,27.635000,118.138000,17
1785739960.519815,-0.897413631,0.083464695,2.677633595,-0.040306420,0.030562550,0.296516215,0.283405,0.020240,0.349294,-146.222000,44.195000,-116.054000,12
1785739989.552755,-0.862782448,-0.071514756,1.345479155,-0.054672414,-0.032439813,0.371492784,0.206544,-0.002958,0.385215,158.746000,45.925000,148.894000,13
1785739998.717460,-0.954617283,-0.157082798,1.269158698,-0.109655567,0.008206756,0.448486988,0.143263,-0.006294,0.472594,152.089000,49.710000,140.490000,17
1785740032.355218,-0.899904280,-0.118340435,1.688898739,-0.010592145,-0.054211683,0.306924684,0.219397,0.001576,0.303850,173.518000,56.074000,172.949000,13
1785740057.675637,-1.004542088,-0.205800563,2.018023154,-0.039354185,0.044832427,0.379520327,0.130622,0.048750,0.391921,-174.563000,63.406000,-157.420000,15
1785740068.376543,-0.812076764,0.031158572,1.394310738,-0.061548655,-0.030887922,0.350835417,0.266607,-0.020395,0.376689,162.327000,42.300000,153.355000,14
1785740114.424552,-0.989313947,-0.085879950,0.850790581,-0.053325333,-0.014543634,0.335415728,0.148004,0.058235,0.320951,137.443000,24.662000,123.622000,12
1785740128.846298,-1.121485182,-0.054959593,1.856295335,-0.024248875,0.018716355,0.328353377,0.178132,-0.039760,0.314936,-179.944000,58.370000,-178.912000,13
1785740139.834815,-0.976784364,-0.346543822,1.542451382,-0.128341375,-0.066796849,0.430599692,0.140378,-0.040006,0.446723,176.763000,65.096000,163.575000,22
1785740156.580563,-0.481137141,0.114661104,0.592574862,-0.165598931,-0.095011169,0.274887830,0.353593,-0.118834,0.275092,166.665000,13.365000,115.707000,16
1785740176.336128,-0.355862916,0.323422085,3.077196301,0.010687158,0.049814011,0.286386938,0.332408,0.108379,0.356348,-148.717000,20.825000,-95.968000,12
1785740200.445490,-0.656138615,-0.392063499,0.624965107,-0.123885571,-0.082619546,0.259090695,0.241858,0.104914,0.300539,158.039000,26.071000,112.939000,12
1785740216.401220,-0.950292759,-0.469548424,1.665198291,-0.026391127,-0.114026392,0.363868789,0.113887,-0.016605,0.316627,-167.518000,70.393000,-175.673000,13
1785740226.649956,-1.058422060,-0.548981295,1.706304882,-0.041102243,-0.108606697,0.329105591,0.122979,-0.013463,0.281475,-162.477000,77.405000,-168.425000,13
1785740255.591621,-1.148482035,-0.551359734,2.055199344,-0.015334377,-0.051066141,0.302570562,0.129964,-0.032246,0.233048,-136.314000,62.653000,-145.094000,12
1785740280.392424,-0.839389999,-0.581190796,1.800208823,-0.038592537,-0.156982339,0.382307997,0.128412,-0.021422,0.362733,-138.780000,67.292000,-147.616000,14
