unix_time,camera_board_rvec_x,camera_board_rvec_y,camera_board_rvec_z,camera_board_x_m,camera_board_y_m,camera_board_z_m,base_x_m,base_y_m,base_z_m,base_rx_deg,base_ry_deg,base_rz_deg,charuco_corners,reprojection_rms_px
1785740793.874521,-0.846749654,-0.568144039,1.768556371,-0.055107463,-0.150664890,0.406607199,0.118057,-0.021604,0.391566,-142.472000,67.558000,-152.163000,18,0.2452
1785740809.431110,-0.895850778,-0.424812163,1.561394291,-0.072164333,-0.109360673,0.385026022,0.135893,0.011816,0.371169,174.104000,63.032000,169.850000,18,0.2125
1785740821.993814,-0.864374709,-0.451782954,1.415524847,-0.105796974,-0.134665607,0.423906888,0.114134,-0.004808,0.415410,170.710000,61.653000,159.173000,19,0.2564
1785740847.378633,-0.877099118,-0.558270602,1.980455089,-0.073578589,-0.106190599,0.453964395,0.091535,-0.048842,0.442759,-129.709000,56.922000,-146.253000,18,0.1981
1785740865.400948,-0.873082707,-0.756507568,1.480593326,-0.119908187,-0.104067225,0.422908376,0.028330,0.075604,0.414226,-131.985000,74.140000,-165.500000,20,0.2245
1785740883.736712,-0.948324496,-0.314700635,1.123696432,-0.121403380,-0.037750663,0.385752711,0.133767,0.058272,0.396543,146.649000,43.048000,136.234000,20,0.2604
1785740898.120876,-0.960481560,-0.414198589,2.075720015,-0.047512742,-0.100641507,0.420606882,0.148015,-0.101367,0.391802,-139.006000,54.800000,-147.478000,17,0.2460
1785740913.141328,-0.648997317,-0.092459726,1.388708175,-0.095471579,-0.089493241,0.368804996,0.299330,-0.018324,0.408393,174.306000,42.040000,158.922000,22,0.2283
1785740952.306123,-0.804150409,-0.226128308,1.802670763,-0.070094233,0.025716127,0.416401715,0.172074,0.110273,0.463084,178.362000,52.496000,-172.914000,17,0.1672
1785740964.442040,-0.542253865,-0.215043328,1.119098773,-0.109946024,-0.112786611,0.358075461,0.278556,0.024492,0.405980,172.570000,37.525000,144.419000,18,0.2143
1785740989.797518,-0.796428970,-0.109582426,2.863525801,-0.048857867,0.048281131,0.389273619,0.221295,0.011361,0.441224,-133.882000,38.870000,-102.134000,17,0.1949
1785741021.332960,-0.708745447,-0.181013085,-0.055194499,-0.198866364,0.002956543,0.300234326,0.198518,-0.005845,0.359938,147.992000,2.469000,78.790000,16,0.3273
1785741049.450307,-0.888268207,-0.366089695,2.270912018,-0.025558156,-0.066747098,0.365114788,0.197964,-0.033573,0.367850,-132.677000,54.158000,-129.343000,18,0.2415
1785741065.879158,-0.892988917,-0.333267564,1.519954715,-0.096444489,-0.102815702,0.409347965,0.158741,-0.041359,0.415172,179.271000,62.149000,165.043000,22,0.2453
1785741076.173822,-0.719491755,-0.408148214,1.151682827,-0.124188365,-0.206742687,0.381153796,0.149553,-0.060472,0.391726,172.947000,56.096000,142.543000,21,0.2742
1785741092.006856,-0.990212017,-0.484227776,2.048932979,-0.032622241,-0.057485058,0.368262826,0.125340,-0.018356,0.341012,-132.363000,65.303000,-135.442000,16,0.2988
