unix_time,camera_x_m,camera_y_m,camera_z_m,base_x_m,base_y_m,base_z_m,base_rx_deg,base_ry_deg,base_rz_deg,pixel_x,pixel_y,depth_m,radius_px
1785070284.722660,-0.002867,-0.011871,0.215300,0.076470,-0.006936,0.279510,177.760000,68.670000,172.575000,322,224,0.215300,69.03
1785070394.917192,-0.014668,0.058415,0.160800,0.056670,0.018036,0.255444,176.414000,77.946000,-166.330000,291,388,0.160800,93.17
1785070474.004221,0.008903,0.032631,0.070100,0.189690,0.073973,0.223479,159.657000,59.749000,177.535000,376,428,0.070100,91.94
1785070497.779687,-0.036174,-0.067496,0.121750,0.218120,-0.025225,0.234124,-174.211000,62.755000,-179.944000,211,30,0.121750,102.28
1785070532.180584,-0.113381,0.035884,0.217600,0.265981,0.024397,0.389796,178.051000,52.390000,-176.479000,124,310,0.217600,61.50
1785070610.888707,-0.022805,-0.018126,0.058100,0.294902,0.075370,0.152970,-176.434000,28.005000,-160.472000,174,124,0.058100,176.78
1785070680.118264,-0.036066,0.016604,0.073750,0.218066,-0.014754,0.219075,129.089000,33.339000,110.237000,136,334,0.073750,183.62
1785070705.656587,-0.036557,-0.031141,0.072550,0.151597,0.087321,0.187511,-107.117000,35.756000,-69.889000,130,79,0.072550,153.12
1785071037.345200,-0.003491,-0.024194,0.291300,0.181331,0.001172,0.382766,-151.616000,40.892000,-140.958000,322,213,0.291300,61.32
1785071068.068268,-0.019725,0.108854,0.242900,0.170391,0.002790,0.390314,141.878000,28.180000,121.978000,295,421,0.242900,69.07
1785071089.896778,-0.145451,0.078161,0.291700,0.191918,0.013665,0.473099,176.502000,58.152000,-175.792000,132,350,0.291700,61.02
1785071111.736424,-0.008175,0.007738,0.176750,0.218762,0.007787,0.299379,179.514000,44.328000,-176.175000,308,263,0.176750,70.42
1785071734.986413,0.007633,0.034502,0.245900,0.257541,0.009941,0.358053,177.723000,47.474000,179.123000,339,301,0.245900,49.59
1785071780.329275,0.004155,0.031179,0.177200,0.315288,0.025214,0.302286,174.719000,40.887000,178.474000,336,315,0.177200,66.15
1785071825.239364,0.020213,-0.007933,0.198200,0.306909,0.052584,0.306318,-149.745000,33.575000,-127.056000,367,230,0.198200,60.22
1785071861.523783,0.049035,0.069042,0.189600,0.271683,0.040108,0.325853,158.067000,34.188000,155.628000,428,388,0.189600,66.03
1785071881.996484,-0.055280,0.013128,0.145700,0.348913,0.039327,0.294181,176.150000,50.945000,-179.679000,178,281,0.145700,82.67
1785071920.692449,0.040883,0.048999,0.184200,0.214325,0.044734,0.295929,174.484000,52.113000,-176.920000,414,350,0.184200,65.60
1785071936.677263,-0.028867,-0.007904,0.091900,0.374380,0.043712,0.226131,176.483000,46.802000,-178.886000,204,212,0.091900,119.89
