unix_time,camera_x_m,camera_y_m,camera_z_m,base_x_m,base_y_m,base_z_m,base_rx_deg,base_ry_deg,base_rz_deg,pixel_x,pixel_y,depth_m,radius_px
1785071734.986413,0.007633,0.034502,0.245900,0.257541,0.009941,0.358053,177.723000,47.474000,179.123000,339,301,0.245900,49.59
1785071780.329275,0.004155,0.031179,0.177200,0.315288,0.025214,0.302286,174.719000,40.887000,178.474000,336,315,0.177200,66.15
1785071825.239364,0.020213,-0.007933,0.198200,0.306909,0.052584,0.306318,-149.745000,33.575000,-127.056000,367,230,0.198200,60.22
1785071861.523783,0.049035,0.069042,0.189600,0.271683,0.040108,0.325853,158.067000,34.188000,155.628000,428,388,0.189600,66.03
1785071881.996484,-0.055280,0.013128,0.145700,0.348913,0.039327,0.294181,176.150000,50.945000,-179.679000,178,281,0.145700,82.67
1785071920.692449,0.040883,0.048999,0.184200,0.214325,0.044734,0.295929,174.484000,52.113000,-176.920000,414,350,0.184200,65.60
1785071936.677263,-0.028867,-0.007904,0.091900,0.374380,0.043712,0.226131,176.483000,46.802000,-178.886000,204,212,0.091900,119.89
1785072233.918089,-0.077223,0.034975,0.190600,0.355287,0.028627,0.346700,172.975000,48.665000,175.069000,168,318,0.190600,66.76
1785072264.400346,-0.026693,-0.038358,0.240400,0.334305,0.047025,0.355961,-144.453000,36.631000,-124.602000,283,183,0.240400,50.28
1785072329.476904,-0.069904,0.063095,0.245300,0.266604,-0.015393,0.394844,158.880000,54.162000,155.210000,215,346,0.245300,54.25
