unix_time,camera_x_m,camera_y_m,camera_z_m,base_x_m,base_y_m,base_z_m,base_rx_deg,base_ry_deg,base_rz_deg,pixel_x,pixel_y,depth_m,radius_px,confidence
1785493710.3734674,-0.06750673055648804,0.038617201149463654,0.20089998841285706,0.347601,0.080425,0.33953,176.218,45.69,-170.358,195,321,0.20089998841285706,62.5,0.4544523060321808
1785493724.550124,-0.06304733455181122,-0.021106915548443794,0.16279999911785126,0.377199,0.038862,0.279128,174.967,45.888,-179.255,175,195,0.16279999911785126,75.5,0.36596107482910156
1785493742.569854,-0.029895362444221973,-0.05563231371343136,0.28892500698566437,0.319197,0.048277,0.377022,-158.572,41.681,-154.108,286,170,0.28892500698566437,43.5,0.3207521140575409
1785493756.6010346,-0.045702748000621796,-0.02112585585564375,0.3232499808073044,0.298963,0.079465,0.421516,-146.869,40.267,-130.117,271,220,0.3232499808073044,39.0,0.3898588716983795
1785493780.712024,-0.019957425072789192,0.007207673974335194,0.3066999912261963,0.232887,0.063613,0.387724,179.458,48.21,-178.015,301,255,0.3066999912261963,41.0,0.23539628088474274
1785493791.2220542,-0.024692817591130733,0.05679871328175068,0.16200000047683716,0.310353,0.140615,0.295304,172.48,42.178,-173.631,267,383,0.16200000047683716,74.5,0.38908353447914124
1785493797.8791797,-0.06554242596030235,-0.04854310676455498,0.18569999933242798,0.336107,0.014922,0.282415,167.069,47.302,161.509,188,144,0.18569999933242798,67.25,0.2421683818101883
1785493808.3964727,-0.02854294516146183,0.0006299848901107907,0.10929999500513077,0.391698,0.097389,0.226114,169.628,32.184,171.3,224,248,0.10929999500513077,101.5,0.1997905820608139
1785493824.9799547,-0.031701017171144485,0.013734520878642797,0.12134999781847,0.263167,0.076787,0.232119,155.409,64.963,171.71,224,290,0.12134999781847,93.75,0.2225256860256195
1785493838.4222264,-0.025655927136540413,0.012482671067118645,0.1282999962568283,0.287132,0.1491,0.235214,-163.861,46.722,-137.969,248,284,0.1282999962568283,88.5,0.07652544230222702
1785493846.2445123,-0.027928908355534077,-0.02172547485679388,0.13187499344348907,0.297646,0.020918,0.217682,144.071,45.173,138.185,244,181,0.13187499344348907,87.75,0.37651610374450684
1785493879.0282621,-0.06523942947387695,0.07459550350904465,0.3572999835014343,0.23692,0.096358,0.467749,171.225,46.627,173.869,255,328,0.3572999835014343,37.0,0.17411427199840546
1785493894.7670052,-0.10108792036771774,-0.11275193840265274,0.3220999836921692,0.303796,-0.003058,0.435438,-122.516,46.099,-109.132,204,109,0.3220999836921692,41.0,0.5023791790008545
1785493919.9485614,-0.012623950839042664,0.01878204382956028,0.19339999556541443,0.228286,0.121333,0.272837,153.797,42.621,155.78,301,284,0.19339999556541443,62.0,0.22370761632919312
1785493929.7055554,-0.06700264662504196,0.046072978526353836,0.18404999375343323,0.269238,0.015196,0.29934,171.164,57.177,-178.547,185,344,0.18404999375343323,68.5,0.4546241760253906
