unix_time,camera_x_m,camera_y_m,camera_z_m,base_x_m,base_y_m,base_z_m,base_rx_deg,base_ry_deg,base_rz_deg,pixel_x,pixel_y,depth_m,radius_px,confidence
1785152571.8473,-0.015516594052314758,0.07564301043748856,0.22769999504089355,0.238352,-0.031315,0.353016,175.235,52.597,167.136,300,376,0.22769999504089355,55.5,0.32863670587539673
1785152597.137882,-0.05025569908320904,0.03568039834499359,0.12292499467730522,0.360064,-0.010505,0.274795,-179.817,47.759,177.826,167,359,0.12292499467730522,96.0,0.25555479526519775
1785152654.3902333,-0.03190978989005089,0.008508327882736921,0.08829999715089798,0.305422,-0.121708,0.197776,143.005,30.802,105.445,185,284,0.08829999715089798,125.5,0.20817847549915314
1785152689.4268038,-0.05403297394514084,0.04226428270339966,0.125,0.333904,0.103098,0.25397,-154.797,39.363,-141.138,158,378,0.125,95.5,0.4369507133960724
1785152734.1495287,-0.01869811676442623,0.06509397178888321,0.19439999759197235,0.147015,0.001702,0.272968,-175.284,75.814,-174.745,289,377,0.19439999759197235,64.5,0.13953807950019836
1785152750.8582735,-0.15111106634140015,0.10823255032300949,0.36959999799728394,0.216653,-0.016034,0.532008,-176.028,59.997,171.085,167,360,0.36959999799728394,37.0,0.8171190023422241
1785152767.2087831,-0.19635577499866486,0.09728708118200302,0.3595999777317047,0.203681,0.123171,0.521426,-136.063,53.688,-126.958,114,351,0.3595999777317047,40.0,0.6770544052124023
1785152789.53796,-0.1716536059975624,0.1102898120880127,0.36044998466968536,0.165171,0.137154,0.500417,-129.856,24.37,-79.579,141,365,0.36044998466968536,39.0,0.6873728036880493
1785152807.419716,-0.14185196161270142,-0.08450307697057724,0.39479997754096985,0.192994,-0.128737,0.49842,-151.629,57.971,175.018,186,162,0.39479997754096985,34.5,0.26767802238464355
1785152822.7834406,0.023795556277036667,0.01983802393078804,0.3511999845504761,0.256719,-0.050195,0.444272,-143.316,31.995,-141.493,354,268,0.3511999845504761,36.5,0.2091025859117508
1785152850.7892125,-0.09669970348477364,0.03975408338010311,0.28164999186992645,0.130402,-0.035212,0.363927,137.352,59.868,113.929,192,301,0.28164999186992645,46.25,0.1273462325334549
1785152880.201344,-0.03408997505903244,0.031160591170191765,0.0940999984741211,0.307311,0.00428,0.244617,-177.728,60.173,-176.571,185,375,0.0940999984741211,120.5,0.4152727723121643
1785152896.4775255,0.004923620261251926,0.08683296293020248,0.1881999969482422,0.163121,0.003009,0.286977,178.736,68.289,179.828,337,426,0.1881999969482422,64.0,0.4739254117012024
