unix_time,camera_x_m,camera_y_m,camera_z_m,base_x_m,base_y_m,base_z_m,base_rx_deg,base_ry_deg,base_rz_deg,pixel_x,pixel_y,depth_m,radius_px,confidence
1785570875.1890104,-0.06812063232064247,0.024075321853160858,0.2607499957084656,0.324085,0.071894,0.417478,176.886,45.08,-178.933,224,282,0.2607499957084656,48.5,0.9539614915847778
1785570901.9041584,-0.08020001649856567,0.04031911492347717,0.20399999618530273,0.338006,0.13176,0.382896,-178.23,46.558,-165.011,173,323,0.20399999618530273,62.75,0.9440381526947021
1785570919.6435905,-0.05292158201336861,-0.02692752704024315,0.19669999182224274,0.355415,0.030142,0.335951,172.886,42.406,171.554,221,192,0.19669999182224274,62.0,0.9228906631469727
1785570952.9690087,-0.03862973302602768,-0.025219617411494255,0.20349998772144318,0.244918,0.029363,0.320136,171.39,63.578,175.799,252,197,0.20349998772144318,59.5,0.9419628977775574
1785571069.164899,-0.09685496613383293,0.005508361384272575,0.2978000044822693,0.259574,0.036898,0.446825,175.824,56.948,177.45,199,253,0.2978000044822693,43.5,0.9604575037956238
1785571087.524398,-0.06021610647439957,0.04940817505121231,0.2761499881744385,0.268471,0.114547,0.430422,-173.104,49.016,-160.016,241,316,0.2761499881744385,46.0,0.9203054308891296
1785571110.6592276,-0.03003285638988018,-0.006014728453010321,0.12610000371932983,0.321433,0.071257,0.276522,167.762,52.454,176.449,233,227,0.12610000371932983,90.0,0.974798858165741
1785571123.4281096,-0.039875900372862816,-0.014365147799253464,0.14949999749660492,0.316165,0.032323,0.289696,157.837,50.562,159.079,222,208,0.14949999749660492,78.0,0.981473982334137
1785571135.8348958,-0.034168828278779984,0.01017708145081997,0.13210000097751617,0.31195,0.12561,0.289384,-173.436,50.461,-155.14,225,276,0.13210000097751617,87.0,0.956905722618103
1785571153.1104927,-0.055310582742094994,0.022183570079505444,0.2222999930381775,0.181216,0.043784,0.334475,164.121,73.316,176.037,229,285,0.2222999930381775,56.0,0.8997625112533569
