unix_time,camera_x_m,camera_y_m,camera_z_m,base_x_m,base_y_m,base_z_m,base_rx_deg,base_ry_deg,base_rz_deg,pixel_x,pixel_y,depth_m,radius_px,confidence
1785569890.9521544,-0.05582188442349434,0.0007770289084874094,0.24159999191761017,0.244172,0.063167,0.378688,-148.547,57.609,-131.704,236,247,0.24159999191761017,51.0,0.7975020408630371
1785569915.392114,-0.05445725470781326,0.010395606979727745,0.1184999942779541,0.321836,0.103764,0.291843,177.314,57.295,-166.23,147,280,0.1184999942779541,101.0,0.8297982215881348
1785569934.1769388,-0.05951671674847603,-0.0510307215154171,0.20889998972415924,0.323617,0.010784,0.340129,178.719,51.964,178.031,215,150,0.20889998972415924,58.5,0.9210608005523682
1785569945.2270584,-0.06892513483762741,-0.04743588715791702,0.1753000020980835,0.321254,-0.030339,0.296772,156.401,49.524,148.016,173,140,0.1753000020980835,70.5,0.9906491637229919
1785569964.0252125,-0.07157054543495178,0.043913088738918304,0.14720000326633453,0.340135,0.185237,0.324485,-169.258,42.221,-145.719,137,362,0.14720000326633453,85.0,0.9810091257095337
1785569983.3249948,-0.040147505700588226,0.009043102152645588,0.2061000019311905,0.188884,0.040977,0.309297,177.667,73.524,-170.508,250,263,0.2061000019311905,50.5,0.8878880143165588
1785570019.9265275,-0.12818747758865356,0.036121666431427,0.32670000195503235,0.228691,0.053922,0.4884,-175.358,62.375,-166.736,173,289,0.32670000195503235,41.0,0.9532644748687744
1785570036.011228,-0.13406385481357574,0.024019578471779823,0.2994000017642975,0.196227,0.020521,0.429927,137.752,19.478,98.897,152,277,0.2994000017642975,45.0,0.96045982837677
1785570053.556283,-0.10110229253768921,0.04679487645626068,0.23149999976158142,0.233516,0.195794,0.385528,-140.22,38.424,-99.49,156,325,0.23149999976158142,56.5,0.9075630307197571
1785570084.203743,-0.05304854363203049,0.012609030120074749,0.09589999914169312,0.352693,0.109126,0.276788,162.47,51.34,173.537,111,297,0.09589999914169312,115.0,0.9479460716247559
1785570145.2970436,-0.10006190836429596,0.02826322615146637,0.17669999599456787,0.337874,0.052458,0.365343,153.842,50.415,156.069,106,308,0.17669999599456787,74.5,0.9891372323036194
1785570260.3855832,-0.03687206655740738,-0.002553575672209263,0.10279999673366547,0.332219,0.100211,0.264772,168.1,52.778,179.855,186,236,0.10279999673366547,109.0,0.8109062910079956
1785570275.7866192,-0.035119492560625076,0.02277291938662529,0.11409999430179596,0.285155,0.167327,0.266318,-165.06,49.275,-138.54,206,324,0.11409999430179596,100.0,0.5678195953369141
