unix_time,camera_pixel_u,camera_pixel_v,base_x_m,base_y_m,base_z_m,base_rx_deg,base_ry_deg,base_rz_deg,confidence
1786001647.092519,427,280,0.364245,0.209183,0.205355,172.931000,37.246000,-164.922000,0.723687
1786001687.005168,351,290,0.342269,0.121644,0.207637,173.685000,45.072000,-171.310000,0.906589
1786001716.532448,274,295,0.361965,0.043560,0.219374,174.212000,39.410000,174.335000,0.619353
1786001744.838246,198,295,0.358323,-0.025908,0.216756,177.758000,39.169000,167.378000,0.597644
1786001772.972408,418,233,0.312792,0.226254,0.211295,177.395000,36.445000,-152.206000,0.742952
1786001800.686770,355,233,0.318727,0.139925,0.216081,172.779000,35.305000,-170.442000,0.652559
1786001822.106787,287,233,0.302056,0.059802,0.217176,172.445000,36.953000,177.176000,0.418192
1786001844.369669,214,228,0.289475,-0.025895,0.224297,173.880000,37.587000,162.603000,0.750735
1786002006.639959,403,183,0.251735,0.209762,0.215983,175.362000,36.186000,-150.338000,0.718386
1786002026.825350,343,185,0.253819,0.133693,0.215391,175.003000,35.938000,-162.754000,0.334112
1786002052.434906,289,186,0.248912,0.061076,0.222167,174.378000,35.030000,-177.696000,0.338817
1786002072.071406,217,184,0.227717,-0.025285,0.227221,173.959000,37.506000,162.144000,0.738893
1786002102.766119,401,141,0.188441,0.208711,0.209828,172.073000,40.480000,-145.468000,0.844839
1786002132.756927,344,140,0.165330,0.136696,0.210120,174.636000,44.373000,-149.759000,0.451750
1786002153.557489,275,139,0.153981,0.045527,0.215521,169.793000,42.455000,178.981000,0.566801
1786002173.177626,223,141,0.133379,-0.006135,0.212867,171.608000,46.889000,162.500000,0.405877
1786518326.984405,254,168,0.014856,0.146866,0.226013,151.785000,72.622000,-124.178000,0.777868
1786518607.734516,208,174,0.070762,0.158425,0.247315,-170.719000,51.351000,-102.251000,0.913318
1786518690.808545,364,186,-0.120647,0.215096,0.286664,-179.304000,33.129000,-58.098000,0.961811
1786518734.145081,409,184,-0.168141,0.201571,0.300692,179.220000,40.782000,-50.482000,0.958822
1786518787.415530,411,229,-0.170332,0.252528,0.281911,178.151000,36.436000,-57.357000,0.957426
1786518828.885890,367,231,-0.120411,0.267948,0.274589,178.297000,34.617000,-66.131000,0.953124
1786518866.486483,322,231,-0.082303,0.253560,0.275553,178.850000,42.534000,-78.795000,0.960581
1786518916.026194,278,234,-0.017368,0.241953,0.284133,-171.123000,39.613000,-75.901000,0.816894
1786518966.227957,234,237,0.043908,0.251407,0.288583,-173.911000,43.741000,-92.814000,0.897273
1786519010.967503,191,240,0.099338,0.238007,0.250975,-176.807000,46.820000,-108.830000,0.920907
1786519039.566902,392,298,-0.137988,0.335233,0.239587,179.298000,41.022000,-68.094000,0.919752
1786519077.236515,348,298,-0.079226,0.339935,0.244494,177.592000,36.262000,-83.375000,0.945391
1786519111.306005,304,300,-0.036835,0.343603,0.273702,179.327000,36.278000,-89.014000,0.941851
1786519140.974436,260,303,0.024159,0.325925,0.267866,175.458000,37.801000,-100.771000,0.953668
1786519182.713614,216,304,0.078459,0.333588,0.256447,176.230000,36.033000,-109.626000,0.846801
