unix_time,camera_pixel_u,camera_pixel_v,base_x_m,base_y_m,base_z_m,base_rx_deg,base_ry_deg,base_rz_deg,confidence
1786518326.984405,254,168,0.014856,0.146866,0.226013,151.785000,72.622000,-124.178000,0.777868
1786518607.734516,208,174,0.070762,0.158425,0.247315,-170.719000,51.351000,-102.251000,0.913318
1786518690.808545,364,186,-0.120647,0.215096,0.286664,-179.304000,33.129000,-58.098000,0.961811
1786518734.145081,409,184,-0.168141,0.201571,0.300692,179.220000,40.782000,-50.482000,0.958822
1786518787.415530,411,229,-0.170332,0.252528,0.281911,178.151000,36.436000,-57.357000,0.957426
1786518828.885890,367,231,-0.120411,0.267948,0.274589,178.297000,34.617000,-66.131000,0.953124
1786518866.486483,322,231,-0.082303,0.253560,0.275553,178.850000,42.534000,-78.795000,0.960581
1786518916.026194,278,234,-0.017368,0.241953,0.284133,-171.123000,39.613000,-75.901000,0.816894
1786518966.227957,234,237,0.043908,0.251407,0.288583,-173.911000,43.741000,-92.814000,0.897273
1786519010.967503,191,240,0.099338,0.238007,0.250975,-176.807000,46.820000,-108.830000,0.920907
1786519039.566902,392,298,-0.137988,0.335233,0.239587,179.298000,41.022000,-68.094000,0.919752
1786519077.236515,348,298,-0.079226,0.339935,0.244494,177.592000,36.262000,-83.375000,0.945391
1786519111.306005,304,300,-0.036835,0.343603,0.273702,179.327000,36.278000,-89.014000,0.941851
1786519140.974436,260,303,0.024159,0.325925,0.267866,175.458000,37.801000,-100.771000,0.953668
1786519182.713614,216,304,0.078459,0.333588,0.256447,176.230000,36.033000,-109.626000,0.846801
