unix_time,camera_x_m,camera_y_m,camera_z_m,fake_tcp_x_m,fake_tcp_y_m,fake_tcp_z_m,fake_tcp_rx_deg,fake_tcp_ry_deg,fake_tcp_rz_deg,pixel_x,pixel_y,depth_m,confidence
1785929313.041427,-0.034710,-0.023053,0.426600,0.283174,0.054521,0.220712,171.476000,36.425000,176.514000,290,218,0.426600,0.735060
1785929333.996096,0.049884,-0.017634,0.427000,0.300515,0.163081,0.212523,174.152000,34.323000,-164.544000,368,223,0.427000,0.571440
1785929354.107047,0.129131,-0.020100,0.431550,0.301745,0.253345,0.207807,173.649000,34.942000,-153.824000,439,221,0.431550,0.605130
1785929387.425778,-0.137293,0.005208,0.416600,0.312051,-0.061640,0.227570,169.256000,32.916000,147.238000,194,244,0.416600,0.888316
1785929410.270278,-0.147287,-0.054483,0.439700,0.241327,-0.065001,0.222306,172.200000,35.637000,147.706000,192,191,0.439700,0.612471
1785929441.348179,-0.054203,-0.046241,0.438850,0.270010,0.048262,0.222441,175.589000,36.748000,179.850000,274,198,0.438850,0.353097
1785929460.701640,0.046081,-0.045583,0.442750,0.267923,0.167506,0.215956,176.567000,34.237000,-157.764000,363,199,0.442750,0.401584
1785929513.369582,0.115327,-0.056356,0.446800,0.259884,0.238370,0.210136,173.184000,35.003000,-151.165000,423,190,0.446800,0.904007
1785929547.243211,-0.017089,-0.043345,0.437550,0.286539,0.089999,0.223811,169.165000,27.932000,172.530000,307,200,0.437550,0.454306
1785929574.273608,-0.073155,-0.018658,0.424900,0.299681,0.018316,0.226204,169.406000,31.296000,160.157000,255,222,0.424900,0.810631
1785929596.036548,0.028890,-0.087975,0.456900,0.214835,0.165626,0.222014,174.932000,34.391000,-156.983000,347,164,0.456900,0.618648
1785929614.512265,-0.020552,0.008392,0.417300,0.330047,0.073663,0.218964,171.296000,34.265000,176.204000,303,247,0.417300,0.550215
1785929634.562688,-0.153540,-0.053168,0.438000,0.246529,-0.074871,0.221786,172.496000,31.795000,147.550000,186,192,0.438000,0.790700
