unix_time,camera_pixel_u,camera_pixel_v,base_x_m,base_y_m,base_z_m,base_rx_deg,base_ry_deg,base_rz_deg,confidence
1786603580.197374,173,179,0.157526,0.133721,0.278082,-172.921000,14.376000,-105.878000,0.384504
1786603652.032628,212,175,0.083705,0.152502,0.262277,-174.072000,20.251000,-110.191000,0.259929
1786603673.838413,252,173,0.032977,0.152310,0.289552,179.031000,15.992000,-95.014000,0.664433
1786603690.257902,292,173,-0.051361,0.149979,0.263174,170.731000,16.350000,-98.105000,0.733530
1786603703.323652,331,171,-0.103445,0.150991,0.259756,164.979000,11.611000,-95.584000,0.719097
1786603716.183879,370,168,-0.182645,0.139374,0.259194,165.707000,10.642000,-88.328000,0.647400
1786603727.435223,409,164,-0.228228,0.133205,0.259456,161.466000,6.962000,-96.979000,0.518715
1786603751.030299,446,161,-0.286430,0.133004,0.259023,163.057000,5.903000,-92.108000,0.640335
1786603761.633997,450,201,-0.275689,0.188953,0.264664,160.706000,5.042000,-105.696000,0.581667
1786603772.157106,456,239,-0.276118,0.235892,0.260771,160.786000,8.163000,-105.419000,0.182136
1786603783.032575,461,279,-0.275634,0.279333,0.257137,160.844000,9.470000,-110.035000,0.185855
1786603793.140688,466,320,-0.269760,0.328322,0.250862,162.539000,9.166000,-114.742000,0.307995
1786603809.352613,424,322,-0.218932,0.338659,0.250316,162.629000,8.199000,-122.610000,0.721389
1786603818.909417,419,283,-0.220449,0.291994,0.265889,162.484000,9.967000,-111.698000,0.520272
1786603826.892118,415,243,-0.220011,0.240755,0.267593,160.935000,9.617000,-105.838000,0.273081
1786603835.844711,411,204,-0.222898,0.186793,0.253003,161.291000,5.114000,-114.345000,0.662743
1786603848.331582,390,187,-0.188592,0.164627,0.261800,161.541000,9.160000,-96.295000,0.908740
1786603887.612655,371,207,-0.160162,0.188872,0.263790,164.434000,11.874000,-97.877000,0.403435
1786603895.902685,374,246,-0.158980,0.241510,0.253203,164.123000,11.663000,-105.123000,0.538360
1786603903.992614,377,286,-0.149213,0.299419,0.250791,164.858000,10.836000,-109.719000,0.261370
1786603913.281396,358,307,-0.134827,0.322553,0.260204,165.752000,13.206000,-111.912000,0.605487
1786603922.687634,336,287,-0.116657,0.300169,0.264081,169.002000,13.077000,-109.421000,0.415365
1786603931.829011,334,249,-0.110824,0.248311,0.257428,168.246000,14.412000,-102.255000,0.443792
1786603940.354318,331,210,-0.108630,0.206840,0.253705,168.978000,12.328000,-93.872000,0.621551
1786603948.749904,291,210,-0.049191,0.199687,0.257249,172.612000,15.834000,-97.706000,0.593444
1786603957.140275,292,249,-0.031314,0.244497,0.254158,172.267000,15.544000,-102.404000,0.488543
1786603965.653420,295,288,-0.042166,0.297220,0.253045,170.754000,15.620000,-110.264000,0.469776
1786603973.632496,276,309,0.003924,0.319953,0.250240,170.438000,15.692000,-111.612000,0.277456
1786604000.145668,257,328,0.030038,0.346302,0.256736,170.659000,14.881000,-119.964000,0.372324
1786604009.546580,237,350,0.050681,0.374901,0.257943,173.239000,14.325000,-120.845000,0.431952
1786604022.345428,195,312,0.111592,0.326461,0.255888,174.101000,14.663000,-126.860000,0.114671
1786604032.721217,192,233,0.123376,0.213348,0.264965,-177.018000,16.998000,-112.058000,0.139686
1786604042.594108,173,180,0.148261,0.133613,0.275781,-172.234000,17.128000,-110.272000,0.263261
1786604057.361672,118,168,0.244829,0.076767,0.277046,178.338000,20.757000,-158.663000,0.161021
