unix_time,camera_pixel_u,camera_pixel_v,base_x_m,base_y_m,base_z_m,base_rx_deg,base_ry_deg,base_rz_deg,confidence
1786521393.773098,462,137,-0.210642,0.205824,0.285724,164.382000,10.924000,-94.153000,0.095194
1786521457.312007,298,168,-0.035881,0.207113,0.314024,175.112000,15.900000,-94.113000,0.963528
1786521545.586438,299,211,-0.028046,0.252948,0.282811,172.807000,17.724000,-100.206000,0.959726
1786521557.852611,343,209,-0.084015,0.244493,0.284729,167.755000,15.210000,-104.916000,0.942035
1786521577.256048,387,207,-0.131433,0.256284,0.276947,163.481000,11.971000,-105.865000,0.963858
1786521597.056348,434,251,-0.186689,0.302864,0.270215,164.027000,11.587000,-105.663000,0.945127
1786521606.323997,390,251,-0.130253,0.302253,0.279719,162.136000,12.105000,-114.949000,0.946394
1786521613.990261,347,253,-0.085031,0.305308,0.272807,165.722000,13.773000,-113.868000,0.920345
1786521621.590291,303,255,-0.034359,0.311835,0.274015,168.362000,14.802000,-115.432000,0.830687
1786521631.125462,259,258,0.020543,0.307634,0.271833,170.122000,16.741000,-119.027000,0.886555
1786521638.992297,214,260,0.083784,0.305476,0.265934,173.942000,17.024000,-113.807000,0.943022
1786521647.993298,218,304,0.074786,0.358984,0.267490,171.504000,17.441000,-120.147000,0.917552
1786521654.992615,261,302,0.026814,0.352530,0.273070,168.136000,17.395000,-119.611000,0.921383
1786521663.660701,305,300,-0.029172,0.349122,0.266234,166.227000,16.486000,-119.705000,0.868543
1786521670.928295,349,298,-0.071720,0.354723,0.272141,161.929000,11.352000,-128.852000,0.933912
1786521679.661979,393,297,-0.128445,0.353600,0.274745,160.324000,9.727000,-125.057000,0.936273
1786521688.331235,436,298,-0.201483,0.358564,0.269020,164.545000,9.013000,-122.084000,0.867488
