unix_time,base_x_m,base_y_m,base_z_m,base_rx_deg,base_ry_deg,base_rz_deg
1786002434.735760,0.152447,-0.008030,0.394987,-176.692000,37.914000,175.405000
1786002517.536063,0.329178,0.177224,0.195507,173.221000,52.725000,-159.593000
1786002537.226269,0.318264,0.105107,0.360706,173.023000,53.274000,-169.791000
1786002560.726259,0.304289,0.026730,0.364760,172.996000,54.073000,176.936000
1786002588.943955,0.313054,-0.035411,0.364092,173.006000,53.778000,165.469000
1786002612.633495,0.267299,0.186651,0.364532,172.721000,54.704000,-153.400000
1786002630.721635,0.255387,0.107984,0.366383,172.809000,55.098000,-165.328000
1786002646.616509,0.230927,0.042818,0.361363,172.351000,56.356000,-178.175000
1786002683.231495,0.224764,-0.038973,0.359804,172.345000,56.606000,161.477000
1786002709.111471,0.173693,0.189030,0.364381,172.610000,55.621000,-141.013000
1786002730.181602,0.193090,0.124383,0.360459,172.367000,56.646000,-155.873000
1786002746.816838,0.163888,0.021727,0.336678,171.686000,58.772000,178.208000
